=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.11.13 15:30:24 =~=~=~=~=~=~=~=~=~=~=~=
-1,0,0
-1,0,0
-1,0,1
-1,0,1
-1,0,1
-1,0,1
-2,0,2
-2,0,2
-2,0,2
-5,0,7
-11,-1,16
-18,-3,27
-25,-4,38
-32,-5,50
-39,-7,61
-46,-8,72
-53,-9,84
-60,-10,96
-67,-12,108
-74,-13,121
-82,-14,135
-89,-16,149
-97,-17,162
-104,-18,176
-112,-20,190
-120,-21,204
-127,-22,220
-134,-24,234
-141,-25,248
-148,-26,263
-154,-27,277
-160,-28,292
-166,-29,307
-172,-30,321
-177,-31,335
-183,-32,351
-188,-33,365
-193,-34,379
-198,-35,394
-203,-36,408
-208,-37,423
-213,-38,438
-218,-39,452
-223,-40,466
-227,-40,482
-232,-41,496
-236,-42,510
-240,-43,525
-244,-43,539
-247,-44,555
-250,-45,569
-253,-45,583
-256,-46,598
-258,-46,612
-261,-46,627
-263,-47,642
-265,-47,656
-268,-48,670
-270,-48,686
-272,-48,700
-275,-49,714
-277,-49,729
-280,-50,743
-282,-50,758
-285,-51,773
-287,-51,787
-290,-52,801
-292,-52,817
-294,-52,831
-296,-53,845
-298,-53,860
-300,-54,874
-302,-54,889
-303,-54,904
-305,-54,918
-306,-55,932
-308,-55,948
-309,-55,962
-309,-55,976
-309,-55,991
-309,-55,1005
-309,-55,1021
-309,-55,1037
-309,-55,1052
-309,-55,1068
-309,-55,1084
-309,-55,1099
-309,-55,1115
-309,-55,1130
-309,-55,1145
-309,-55,1162
-309,-55,1177
-309,-55,1192
-309,-55,1208
-309,-55,1224
-309,-55,1240
-309,-55,1255
-309,-55,1270
-309,-55,1287
-309,-55,1302
-309,-55,1317
-309,-55,1333
-309,-55,1349
-309,-55,1364
-309,-55,1380
-309,-55,1395
-307,-55,1411
-303,-54,1427
-293,-52,1442
-278,-50,1458
-256,-46,1473
-228,-41,1489
-195,-35,1505
-156,-28,1520
-112,-20,1536
-64,-11,1552
-16,-2,1566
31,5,1580
72,12,1591
117,21,1604
165,29,1617
213,38,1631
258,46,1644
303,54,1657
345,62,1671
383,68,1685
418,75,1698
449,80,1712
475,85,1725
496,89,1738
513,92,1753
526,94,1766
533,95,1779
535,96,1793
533,95,1806
525,94,1820
514,92,1833
497,89,1847
477,85,1860
452,81,1873
423,76,1888
390,70,1901
354,63,1914
315,56,1928
273,49,1941
229,41,1955
184,33,1969
139,25,1982
94,16,1995
53,9,2009
17,3,2020
-17,-3,2031
-56,-10,2044
-95,-17,2059
-130,-23,2073
-162,-29,2089
-190,-34,2105
-211,-37,2120
-227,-40,2136
-236,-42,2152
-240,-43,2167
-238,-42,2183
-229,-41,2198
-215,-38,2214
-196,-35,2230
-171,-30,2245
-140,-25,2260
-105,-19,2276
-66,-11,2292
-26,-4,2307
14,2,2320
48,8,2331
84,15,2343
123,22,2356
165,29,2369
206,37,2382
246,44,2396
284,51,2409
320,57,2423
354,63,2437
383,68,2450
410,73,2463
432,77,2477
450,81,2491
463,83,2504
473,85,2518
477,85,2531
478,86,2545
474,85,2558
466,83,2572
453,81,2585
437,78,2598
416,74,2613
392,70,2626
364,65,2639
333,59,2653
299,53,2666
264,47,2680
225,40,2694
186,33,2707
147,26,2720
107,19,2735
69,12,2748
34,6,2760
4,0,2771
-22,-3,2782
-54,-9,2795
-83,-14,2808
-111,-19,2824
-136,-24,2839
-157,-28,2854
-172,-30,2870
-181,-32,2886
-185,-33,2902
-184,-33,2917
-177,-31,2932
-165,-29,2949
-147,-26,2964
-125,-22,2979
-98,-17,2995
-69,-12,3009
-37,-6,3024
-4,0,3038
25,4,3049
55,9,3060
86,15,3073
120,21,3085
157,28,3098
193,34,3111
228,41,3125
261,46,3138
293,52,3152
322,57,3166
349,62,3179
372,66,3192
391,70,3206
407,73,3220
418,75,3233
426,76,3247
430,77,3260
429,77,3273
425,76,3288
417,75,3301
405,72,3314
389,70,3328
370,66,3341
348,62,3355
323,58,3368
295,53,3382
265,47,3395
233,41,3409
199,35,3423
165,29,3436
131,23,3449
97,17,3463
66,11,3476
37,6,3488
11,1,3500
-13,-2,3511
-40,-7,3524
-65,-11,3537
-88,-15,3553
-107,-19,3567
-123,-22,3582
-134,-24,3598
-140,-25,3614
-141,-25,3630
-137,-24,3645
-128,-23,3660
-115,-20,3677
-97,-17,3692
-76,-13,3706
-52,-9,3721
-27,-4,3734
1,0,3748
24,4,3759
49,8,3770
76,13,3781
105,18,3793
137,24,3808
169,30,3821
200,36,3834
230,41,3848
258,46,3861
285,51,3874
309,55,3889
330,59,3902
348,62,3915
363,65,3929
375,67,3943
383,68,3956
388,69,3970
389,70,3983
387,69,3996
380,68,4011
371,66,4024
358,64,4037
342,61,4050
323,58,4064
302,54,4078
278,50,4091
251,45,4105
224,40,4118
195,35,4132
165,29,4146
136,24,4159
106,19,4172
77,13,4186
51,9,4199
29,5,4210
7,1,4221
-11,-1,4232
-32,-5,4245
-52,-9,4258
-68,-12,4272
-82,-14,4287
-93,-16,4301
-99,-17,4316
-102,-18,4330
-101,-18,4346
-95,-17,4362
-85,-15,4376
-72,-12,4390
-56,-10,4405
-36,-6,4420
-15,-2,4433
8,1,4447
27,4,4457
49,8,4469
72,12,4481
97,17,4493
123,22,4505
150,27,4518
177,31,4532
204,36,4546
230,41,4559
254,45,4573
275,49,4586
294,52,4599
312,56,4614
326,58,4627
338,60,4640
346,62,4654
351,63,4667
353,63,4681
352,63,4695
347,62,4708
340,61,4721
330,59,4734
317,57,4749
301,54,4762
283,50,4775
263,47,4789
240,43,4803
217,39,4816
192,34,4830
166,29,4844
141,25,4856
115,20,4871
90,16,4884
67,12,4896
46,8,4909
27,4,4920
9,1,4932
-5,0,4942
-19,-3,4954
-35,-6,4967
-47,-8,4980
-57,-10,4994
-64,-11,5009
-68,-12,5023
-68,-12,5038
-64,-11,5052
-58,-10,5066
-48,-8,5082
-36,-6,5095
-22,-3,5108
-5,0,5122
11,1,5134
28,5,5145
46,8,5156
65,11,5168
86,15,5180
108,19,5193
132,23,5207
155,27,5220
179,32,5233
201,36,5246
223,40,5261
243,43,5274
260,46,5287
277,49,5301
290,52,5314
302,54,5327
311,55,5342
317,57,5355
320,57,5368
321,57,5382
319,57,5395
314,56,5409
307,55,5423
297,53,5436
284,51,5449
270,48,5463
253,45,5477
235,42,5490
215,38,5504
194,34,5518
173,31,5531
151,27,5544
129,23,5558
107,19,5571
86,15,5585
68,12,5597
50,9,5610
34,6,5621
20,3,5633
7,1,5645
-2,0,5654
-12,-2,5665
-22,-3,5680
-29,-5,5693
-33,-5,5706
-35,-6,5720
-34,-6,5733
-31,-5,5747
-25,-4,5761
-17,-3,5774
-7,-1,5787
5,0,5800
16,2,5811
29,5,5822
43,7,5833
58,10,5844
75,13,5857
93,16,5870
111,19,5882
131,23,5896
151,27,5909
171,30,5922
190,34,5937
209,37,5950
226,40,5964
241,43,5977
255,45,5991
266,47,6003
275,49,6018
283,50,6031
288,51,6044
291,52,6057
291,52,6071
289,52,6085
285,51,6098
278,50,6112
270,48,6125
259,46,6139
246,44,6153
232,41,6167
217,39,6179
200,36,6194
183,32,6207
165,29,6220
147,26,6234
128,23,6248
110,19,6261
93,16,6275
77,13,6287
63,11,6299
49,8,6311
37,6,6324
27,4,6335
18,3,6346
10,1,6359
4,0,6370
-1,0,6382
-3,0,6390
-5,0,6402
-5,0,6414
-4,0,6425
-2,0,6436
4,0,6450
9,1,6460
15,2,6469
23,4,6480
32,5,6492
42,7,6503
54,9,6515
66,11,6526
80,14,6539
94,16,6551
109,19,6563
126,22,6578
142,25,6591
159,28,6604
175,31,6618
190,34,6631
204,36,6644
217,39,6659
229,41,6672
239,43,6685
248,44,6701
254,45,6713
258,46,6725
261,46,6739
261,46,6753
260,46,6766
257,46,6779
251,45,6794
244,43,6808
236,42,6820
226,40,6835
215,38,6848
203,36,6861
190,34,6875
176,31,6888
161,28,6902
146,26,6916
132,23,6928
117,21,6942
103,18,6956
89,16,6969
77,13,6982
66,11,6994
56,10,7007
47,8,7019
39,7,7031
33,5,7044
28,5,7056
25,4,7065
22,3,7088
23,4,7105
24,4,7111
25,4,7116
27,4,7123
31,5,7135
36,6,7146
42,7,7157
49,8,7169
56,10,7179
66,11,7192
76,13,7204
87,15,7217
98,17,7229
110,19,7241
123,22,7256
136,24,7269
149,26,7282
162,29,7296
174,31,7309
186,33,7323
196,35,7336
206,37,7350
214,38,7363
221,39,7377
227,40,7393
231,41,7408
233,41,7424
232,41,7447
231,41,7453
230,41,7458
226,40,7473
221,39,7485
214,38,7500
207,37,7513
198,35,7527
189,34,7539
179,32,7553
168,30,7566
156,28,7580
145,26,7593
133,23,7608
122,21,7620
111,19,7634
101,18,7647
91,16,7661
82,14,7673
74,13,7687
67,12,7699
61,10,7712
56,10,7726
53,9,7736
50,9,7752
51,9,7784
52,9,7791
53,9,7797
54,9,7801
55,9,7805
58,10,7816
63,11,7830
68,12,7841
74,13,7854
81,14,7866
89,16,7879
97,17,7891
105,18,7903
115,20,7917
125,22,7930
135,24,7945
145,26,7958
154,27,7970
163,29,7984
172,30,7998
180,32,8011
187,33,8025
194,34,8040
199,35,8053
203,36,8068
206,37,8083
206,37,8121
205,36,8129
204,36,8135
203,36,8141
201,36,8150
198,35,8161
193,34,8175
188,33,8187
182,32,8201
175,31,8214
167,30,8228
159,28,8243
151,27,8256
143,25,8268
135,24,8282
126,22,8296
118,21,8310
111,19,8323
104,18,8336
97,17,8350
92,16,8361
87,15,8375
83,14,8386
79,14,8401
77,13,8413
75,13,8431
76,13,8463
77,13,8472
78,14,8478
79,14,8483
80,14,8488
83,14,8501
86,15,8511
90,16,8523
95,17,8538
100,18,8549
106,19,8563
113,20,8578
119,21,8590
126,22,8604
133,23,8619
139,25,8630
146,26,8645
152,27,8657
158,28,8672
163,29,8684
168,30,8698
173,31,8715
176,31,8726
179,32,8741
181,32,8758
180,32,8798
179,32,8808
178,32,8815
177,31,8822
176,31,8827
175,31,8833
171,30,8850
168,30,8861
164,29,8875
159,28,8890
155,27,8901
150,27,8914
145,26,8928
139,25,8943
134,24,8956
129,23,8969
124,22,8983
119,21,8997
115,20,9010
111,19,9023
107,19,9038
104,18,9052
101,18,9069
100,18,9076
98,17,9107
99,17,9138
100,18,9151
101,18,9159
102,18,9167
103,18,9175
104,18,9181
105,18,9186
107,19,9196
110,19,9210
114,20,9227
117,21,9237
121,21,9251
125,22,9266
128,23,9277
132,23,9291
136,24,9307
139,25,9318
143,25,9333
146,26,9347
149,26,9362
151,27,9373
153,27,9385
155,27,9402
156,28,9413
157,28,9432
156,28,9478
155,27,9492
154,27,9502
153,27,9512
152,27,9521
151,27,9529
150,27,9536
149,26,9543
148,26,9549
146,26,9563
144,25,9574
141,25,9591
139,25,9604
137,24,9615
134,24,9632
132,23,9645
130,23,9657
128,23,9670
126,22,9686
124,22,9703
123,22,9713
122,21,9725
121,21,9742
122,21,9815
123,22,9840
124,22,9856
125,22,9870
126,22,9883
127,22,9897
128,23,9911
129,23,9925
130,23,9938
131,23,9951
132,23,9964
133,23,9979
134,24,9995
135,24,10015
136,24,10038
