=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.11.13 15:39:47 =~=~=~=~=~=~=~=~=~=~=~=
-1,0,0
-2,0,0
-2,0,1
-3,0,1
-3,0,1
-4,0,1
-4,0,2
-5,0,2
-15,-2,7
-38,-6,17
-66,-11,28
-99,-17,41
-135,-24,54
-176,-31,67
-220,-39,80
-266,-47,94
-314,-56,108
-371,-66,122
-430,-77,137
-486,-87,151
-533,-95,165
-573,-103,181
-608,-109,196
-633,-113,211
-652,-117,227
-663,-119,243
-666,-119,259
-663,-119,274
-653,-117,289
-636,-114,306
-614,-110,321
-586,-105,336
-553,-99,352
-518,-93,366
-479,-86,381
-438,-78,396
-395,-71,410
-351,-63,424
-308,-55,440
-266,-47,454
-226,-40,468
-190,-34,483
-158,-28,497
-131,-23,513
-108,-19,527
-90,-16,541
-77,-13,555
-68,-12,568
-62,-11,582
-59,-10,595
-58,-10,609
-60,-10,622
-65,-11,636
-73,-13,650
-85,-15,663
-100,-18,676
-122,-21,691
-151,-27,706
-185,-33,720
-223,-40,735
-266,-47,749
-311,-55,763
-358,-64,779
-405,-72,793
-451,-81,807
-494,-88,822
-534,-96,837
-569,-102,851
-600,-108,867
-624,-112,882
-642,-115,898
-652,-117,914
-654,-117,929
-650,-117,945
-639,-115,960
-622,-111,976
-598,-107,992
-569,-102,1007
-532,-95,1024
-494,-89,1040
-454,-81,1055
-411,-74,1071
-369,-66,1086
-328,-59,1102
-288,-51,1118
-252,-45,1133
-221,-39,1148
-195,-35,1164
-174,-31,1180
-157,-28,1196
-142,-25,1211
-129,-23,1226
-119,-21,1243
-111,-19,1258
-106,-19,1273
-105,-18,1289
-108,-19,1305
-115,-20,1320
-127,-22,1336
-144,-25,1351
-165,-29,1367
-190,-34,1383
-220,-39,1398
-252,-45,1414
-286,-51,1429
-321,-57,1445
-355,-63,1461
-386,-69,1476
-412,-74,1491
-431,-77,1508
-441,-79,1523
-443,-79,1539
-438,-78,1554
-432,-77,1570
-427,-76,1586
-426,-76,1601
-427,-76,1616
-431,-77,1632
-434,-78,1648
-436,-78,1664
-437,-78,1679
-436,-78,1694
-432,-77,1711
-425,-76,1726
-415,-74,1741
-403,-72,1757
-388,-69,1773
-369,-66,1788
-346,-62,1804
-317,-57,1819
-283,-50,1836
-247,-44,1851
-216,-38,1866
-192,-34,1882
-177,-32,1897
-170,-30,1913
-169,-30,1929
-174,-31,1944
-183,-32,1959
-197,-35,1976
-214,-38,1991
-234,-41,2007
-255,-45,2022
-278,-50,2038
-302,-54,2054
-327,-58,2069
-351,-63,2084
-374,-67,2101
-396,-71,2116
-416,-74,2131
-433,-77,2147
-445,-80,2162
-452,-81,2179
-453,-81,2194
-446,-80,2209
-431,-77,2225
-408,-73,2241
-382,-68,2256
-357,-64,2272
-337,-60,2287
-321,-57,2304
-309,-55,2319
-300,-54,2334
-292,-52,2350
-287,-51,2365
-282,-50,2381
-279,-50,2397
